Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Finland,43,2019/10/25,Project Phoenix,Hanna Rauhala,UBS (ECH),Vantaa,Various,"27,094",112,,,,-,,
Finland,36,2021/09/02,Harjutie 5,Mikko Haapalainen,n.a.,Turku,Industrial,"11,391",,,,,-,,Light industrial asset. Vacated in 2022
Denmark,19,2022/05/02,True Møllevej 1,Jes Rovsing,Det Frederiksbergske Ejendoms-Societet,"Tilst, Aarhus",Industrial,"6,143",n.a.,,,,-,,"Grey warehouse boxes with limited office share. Good location in LI area right at the highway. Decent size. Good tenants (Elgiganten, Carlsberg, Pilkington)"
Finland,39,2023/09/29,Project Lighthouse,Maija Seppälä,Castlelake,Various,Logistics,"60,466",,,,,-,,"Urban logistics portfolio of 14 assets in Helsinki metropolitan area. Assets have good micro locations next to the main highways. NOI €5.9m, occupancy 98%, WAULT 3.5 years."
Finland,49,2023/12/05,Project Gold,Mathias Vuorelma,Ilmarinen,Various,Public use,"23,500",,,,,84,7.0%,"Heathcare portfolio of four properties, anchored by the leading private healthcare operators (Terveystalo & Mehiläinen) and the City of Vantaa. Strong micro locations, WAULT 7.5 years, 95% occupancy."
Denmark,44,2024/11/01,Nymarkshaven,Kristina Alderin,n.a,Fredericia,Residential,"6,186","1,365",,,,146,5.0%,"Residential multifamily property located in the Triangle Region in the centre of Denmark. The property is divided into two sites and totals a GLA of 6,186 sq m divided on 84 modern units. Nymarkshaven is located in the northern part of the city of Fredericia in an established residential area near daily necessities, daycares, schools and leisure activities. "
Sweden,45,2024/11/04,Preschool & LSS Malmö ,Annika Fridolf,n.a,Malmö,Public use,1400 / 700,2355 / 1653,,,,-,,"Two fully leased properties in Tygelsjö, Malmö, rented by Malmö municipality. The preschool(completed in June 2019 by Skanska) has a 15 year WAULT. The LSS residence (been completely renovated in two phases, 2014 and 2022) consist 700 sqm of residential space and a 250 sqm barn, leased until 2030 with a 5-year extension"
Sweden,45,2024/11/05,Project Paragon,David Hävermark,Green Group etc.,Various,Industrial,n.i.,,,,,-,,"Potential sale of a container self-storage provider, the operations including some IOS properties accross Sweden. Prinsens Lager is a Swedish container self-storage provider offering cost-effective storage solutions. They have 25 sites today of which 50% are freehold tenure. 1,700 containers on current sites with potential to expand with c. 600 containers on current sites. "
Denmark,45,2024/11/08,Gammelmarksvej 11,Anthony Romano,n.a,Vejle,Logistics,"8,444","2,964",,,,-,,"Newly built warehouse/logistics property, completed in 2023 (93% warehouse and 7% office), features 14 gates, including 11 loading docks and 4 terrain gates. Fully leased on a 10-year non-terminable lease.The Purchaser will acquire the property in its entirety, including both the initial 4,546 sqm section and a planned 2025 extension of 3,898 sqm, all under a fully constructed and leased arrangement with Stock Group A/S"
Sweden,46,2024/11/11,Kungsbacka Kolla 5:150,Josefin Bergholtz,BJC Holding,Kungsbacka,Residential,"5,819","2,069",,,,-,,"Located in the Kolla Parkstad area in Kungsbacka Municipality, the property currently has three completed buildings (Houses A-C) with a total of 87 apartments, as well as a fourth building (House D) under construction, scheduled for completion in spring 2025, which will add an additional 25 apartments."
Sweden,46,2024/11/11,Project Lotus,David Hävermark,Revelop,Botkyrka,Various,"80,679","1,576",,,,-,,"Mixed use property (52% warehouse/industrial & 32% offuce ) located in Tumba with proximity to Tumba centrum, E4 highway and public transport. 42% government backed rent. Alfa Laval, currently the largest tenant (52% of the leasable area), has announced their intention to relocate part of their operations to Flemingsberg, unlocking an opportunity to reposition the property into a regional hub for government agencies, Additional building rights of 180,000 sqm available"
Sweden,46,2024/11/12,Project Axe,Carl Rosén,UB Nordic Property Fund (AIF),Ljungby,Various,"8,217","1,936",,,,-,,"The property consists of 81,529 sqm of freehold land and buildings with a rentable area of 8,217 sqm. It has a fully indexed triple-net lease agreement. The highway (E4) passes by just outside of the property"
Denmark,46,2024/11/14,Project Longevity,Anthony Romano,Gubra ApS,Hørsholm,Office,"5,013","1,594",,,,-,,"A 10 year sale-and-lease back transaction in the Hørsholm life science cluster. Apart from office space, the Property comprises fully equipped laboratories, administrative and storage space and an auditorium. DKK 4m deposits avaiable (6 months rent)"
Sweden,46,2024/11/15,Projekt Gottorp,Josefin Bergholtz,Skanska Sverige AB,Malmö,Building Rights,"9,710",-,-,-,-,-,-,"The property is located in the new sustainable district of Bunkeflostrand, Malmö, with plans for residential and commercial development. The area is strategically positioned to connect rural and urban parts of Malmö, offering a mix of housing and amenities. The development aims to create a new local center in Bunkeflostrand."
Sweden,46,2024/11/15,Nordsten Malmö,David Hävermark,Nordsten,Malmö,Logistics,-,-,-,-,-,-,-,"A cutting-edge logistics park at the Port of Malmö spanning 38,813 sqm, with a project cost of SEK 506 million and an estimated market value of SEK 834 million. The project features BREEAM certification and solar energy use, with a profit margin of SEK 328 million."
Sweden,46,2024/11/15,Nordesten Gothenburg,David Hävermark,Nordsten,Gothenburg,Logistics,-,-,-,-,-,-,-,"A JV opportunity to develop logistics properties near key locations, starting with a 37,584 sqm facility at the Port of Gothenburg. The project, designed with sustainability and efficiency in mind, has a total cost of SEK 590 million, an estimated market value of SEK 864 million, and a projected profit of SEK 274 million."
Sweden,46,2024/11/15,Projekt Örn,Erik Widmark,Provberg Fastigheter 1 AB,Various,Office,"12,995","1,694","1,209",-,-,-,-,"The project involves two existing office buildings in Örnsberg that are undergoing detailed planning for expanded uses, including offices, residential units, commercial purposes, and non-disturbing industry. The entire surrounding industrial area is also part of the same plan and will be developed with new housing. The detailed plan is expected to be reviewed and adopted by mid-2026, allowing for the addition of two to three residential floors to the buildings, which would provide lake views. The properties currently generate a net operating income of around SEK 16 million with historically low vacancy rates (below 5%)."
Sweden,47,2024/11/18,S&L Portfolio,Carl Rosén,Vinning AB,Various,Industrial,"6,073",827,802,10.0,-,-,-,"Five properties with a sale-leaseback arrangement, featuring 10-year lease agreements. The tenant is responsible for all operating costs and ongoing maintenance.  The tenant provides a parent company guarantee for all lease agreements"
Finland,47,2024/11/19,Koy Hyvinkään Sampotalo,Mathias Vuorelma,Mandatum Henkivakuutusosakeyhtiö,Hyvinkää,Retail,"9,683",121,82,5.0,93%,6,13.2%,"Centrally located near the market square, with 81.4% of shares in Kiinteistö Oy Sampotalo for sale, offering control over a 9,683 m² commercial center and 155 parking spaces. The primary tenant (Tokmanni) contribute to 64% of the rental income with a lease valid until 2030. The debt-free asking price is €6,000,000."
Denmark,47,2024/11/20,2 x Lagerejendomme ,Anthony Romano,-,Various,Industrial,"18,832",762,714,5.7,94%,175,7.7%,"Two light industrial properties in Glostrup and Taastrup, with an expected finder's fee of 1.25%."
Sweden,47,2024/11/20,Jakobsberg 2.964,Erik Widmark,HSB,Järfälla,Residential,"4,175","1,488","1,461",-,-,-,-,"The property is centrally located in Jakobsberg, Järfälla, with excellent access to public transportation. Built in 1953, it has been upgraded over the years and offers potential for further value-enhancing renovations. The property includes both residential units and commercial spaces. The rent increase for 2024 is 5.9%, with a planned increase of 4.2% for 2025"
