,Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Formula - leave],YYYY-MM-DD,Use dropdown,Project [Name],[Name],[Name],[Name],[Country],[City],Use dropdown,[Street Name and number],[Postal code and place],[Property designation],Use dropdown,[Number],[Number],[Number],[Formula - leave],[Number],[Percentage],[Percentage],[Formula - manual if no yield or NOI],[Formula - leave],[Text],,,,
,42,2024-10-15,Teaser,Project Deal List,Kristina Alderin,CBRE,JLL,Sweden,Älvdalen,Yes,Byvägen 34,790 91 Idre,Idre 5:114,Public Use,"3,500","1,200","3,300,000",943,4.3,68%,5.50%,"60,000,000","17,143","Office property built in 1922 on Södermalm, located at Maria Skolgatan, next to Ringvägen and Tantolunden  4.2-5.2 meter floor-to-ceiling height",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,,Link
Index,Week nr.,Date received,Type,Project Name,Received by,Seller,Broker,Country,Location,Portfolio,Address,Postal code,Property designation,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","NOI, CCY/sqm","WAULT, years","Economic occupancy rate, %",Yield,"Deal value, CCY","Deal value, CCY/sqm",Comment ,"Price, CCY","Price, CCY/sqm",Yield2,Link
1,46,2024/11/14,IM,Project Longevity,Anthony Romano,Gubra ApS,Colliers,Denmark,Hørsholm,No,Hørsholm Kongevej 11b,2970 Hørsholm,"163b, Hørsholm By, Hørsholm",Other,"5,013","1,594","7,991,480","1,594",10.0,100%,,-,-,"A 10 year sale-and-lease back transaction in the Hørsholm life science cluster. Apart from office space, the Property comprises fully equipped laboratories, administrative and storage space and an auditorium. DKK 4m deposits avaiable (6 months rent)",,,,
2,45,2024/11/08,IM,Gammelmarksvej 11,Anthony Romano,n.a,Tristad,Denmark,Vejle,No,Gammelmarksvej 11,7100 Veile,,Logistics,"8,444","2,964","4,723,703",559,10.0,100%,5.23%,"95,000,000","11,251","Newly built warehouse/logistics property, completed in 2023 (93% warehouse and 7% office), features 14 gates, including 11 loading docks and 4 terrain gates. The Purchaser will acquire the property in its entirety, including both the initial 4,546 sqm section and a planned 2025 extension of 3,898 sqm, all under a fully constructed and leased arrangement with Stock Group A/S. DKK 5m in deposits",,,,
3,44,2024/11/01,IM,Nymarkshaven,Kristina Alderin,n.a,CBRE,Denmark,Fredericia,No,n/a,n/a,n/a,Residential,"6,186",-,"7,191,290","1,163",-,0%,4.93%,"146,000,000","23,602","Residential multifamily property located in the Triangle Region in the centre of Denmark. The property is divided into two sites and totals a GLA of 6,186 sq m divided on 84 modern units. Nymarkshaven is located in the northern part of the city of Fredericia in an established residential area near daily necessities, daycares, schools and leisure activities. ",,,,
4,46,2024/11/11,Teaser,Project Gold,Mathias Vuorelma,Ilmarinen,Catella,Finland,Espoo,Yes,,,,Public Use,"4,215",,"900,000",214,8.5,,,-,-,Ilmarinen is selling healthcare centre and public daycare assets located in HMA. The buildings are built in 2000's.,,,,
5,46,2024/11/12,IM,Project Axe,Carl Rosén,UB Nordic Property Fund (AIF),Reagle,Sweden,Ljungby,No,Movägen 1,341 32 Ljungby,Yxan 1,Office / Industrial,"8,217","1,936","15,900,000","1,935",14.0,100%,,-,-,"The property consists of 81,529 sqm of freehold land and buildings with a rentable area of 8,217 sqm. It has a fully indexed triple-net lease agreement. The highway (E4) passes by just outside of the property",,,,
