,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,
Week nr. ,Date received,Type,Project name,Recieved by,Seller,Broker,Country,Location,Portfolio,Address,Postal code,Property designation,Use,Leasable area (sq m),"Base rent incl. Index (Portfolio average, CCY/sqm)","NOI, CCY","NOI, CCY/sqm","WAULT, years","Economic occupancy rate, %",Yield (confirmed),"Deal value, CCY","Deal value, CCY/sqm",Description/Comment,"Price, CCY","Price, CCY/sqm",Yield,Test
,2016-05-11,,Project Primavera,David Repton,Cornerstone,Catella,Sweden,Various,,,,,Office,"60,019","1,730",,,,,,,,,,,,1
,2016-08-22,,Project Aitio,,NCC,CBRE,Finland,Helsinki,,,,,Office,"10,811",,,,,,,,,,,,,1
,2016-09-01,,Apilakatu 1,,K/S Lahti,Cushman & Wakefield,Finland,Lahti,,,,,Retail,"7,300",,,,,,,,,,,,,1
,2017-01-24,,Britsarvsskolan 6,,Kopparstaden,Catella,Sweden,Falun,,,,,Residential,"32,638",965,,,,,,,,,,,,1
,2017-03-01,,Äldreboenden Attendo,,Svenska Stadsbyggen i Nacka Strand,Bernström & Partners,Sweden,n.a,,,,,Various,,,,,,,,,,,,,,1
,2017-06-27,,Astrid,,GotlandsHem,Catella,Sweden,Gotland,,,,,Residential,"62,749","1,014",,,,,,,,,,,,1
,2017-09-04,,Svärdlången 8,,Riksbyggen,Catella,Sweden,Stockholm,,,,,Residential,"1,766","1,453",,,,,,,,,,,,1
,2017-09-18,,Kringlan,David Hävermark,Telge fastigheter,Svefa,Sweden,Södertälje,,,,,Retail,"23,800","1,674",,,,,4.50%,"570,000,000","23,950",,,,,1
,2017-10-01,,Rådhuset 6,,Kronosund Holding,Croisette,Sweden,Helsingborg,,,,,Office,"3,225","2,166",,,,,,,,,,,,1
,2017-10-31,,Hotel City ApS,,Private individuals,Deloitte,Denmark,Copenhagen,,,,,Hotel,"2,155",,,,,,,,,,,,,1
,2017-10-31,,Romulus,,Primedi,CBRE,Sweden,Various,,,,,Various,"35,042",742,,,,,,,,,,,,1
,2017-11-10,,Brännaren 12,,Private individuals,Cushman & Wakefield,Sweden,Stockholm,,,,,Residential,"2,311",,,,,,,,,,,,,1
,2017-11-13,,Stenungstorg,,Citycon,Cushman & Wakefield,Sweden,Stenungsund ,,,,,Retail,"35,000","1,700",,,,,,,,,,,,1
,2017-11-15,,Nydalen,,Avantor AS,DNB,Norway,Oslo,,,,,Other,"14,781",,,,,,,,,,,,,1
,2017-12-05,,Projekt Bifrost,,Kaj Nilsson Holding,Croisette,Sweden,Various,,,,,Office,"42,023",916,,,,,,,,,,,,1
,2017-12-13,,Bostadsportfölj Falun,,Kopparstaden,Catella,Sweden,Falun,,,,,Residential,"9,802",970,,,,,,,,,,,,1
,2017-12-18,,Project Track,,SPP Fastigheter,CBRE,Sweden,Uppsala,,,,,Various,"12,677","3,054",,,,,,,,,,,,1
,2018-01-12,,Glaven 6 och 12,,Stockholms läns landsting,Svefa,Sweden,Stockholm,,,,,Office,"3,320","1,715",,,,,,,,,,,,1
,2018-01-15,,Project Alba,,AS Karl Johans gate 17,Akershus Eiendom,Norway,Oslo,,,,,Various,"2,600","3,175",,,,,,,,,,,,1
,2018-01-23,,Yellowstone,,Skanska,Cushman & Wakefield,Sweden,Solna,,,,,Office,"3,599","2,418",,,,,,,,,,,,1
,2018-01-30,,Extended stay hotell,,VHD Holding,Cushman & Wakefield,Sweden,Stockholm,,,,,Hotel,"5,600","1,954",,,,,,,,,,,,1
,2018-01-30,,Hönsfodret 1,,Folksam,Cushman & Wakefield,Sweden,Stockholm,,,,,Other,"5,196","2,293",,,,,2.18%,"345,000,000","66,397",,,,,1
,2018-01-31,,Bostadsfastigheter Karlskrona,,Karlskronahem,Svefa,Sweden,Karlskrona,,,,,Residential,"16,000","1,012",,,,,,,,,,,,1
,2018-01-31,,Samhällsfastigheter Karlskrona,,Karlskronahem,Svefa,Sweden,Karlskrona,,,,,Residential,"13,500","1,295",,,,,,,,,,,,1
,2018-03-05,,Project Jupiter,,Mercada,Advium,Finland,Various,,,,,Retail,"77,055",220,,,,,,,,,,,,1
,2018-03-07,,The Block,,Profi,Catella,Sweden,Solna,,,,,Office,"13,369","1,857",,,,,,,,,,,,1
,2018-03-09,,Lindex CDC,,Klövern,CBRE,Sweden,Göteborg,,,,,Office,"14,756",672,,,,,,,,,,,,1
,2018-03-09,,Project INC.,,Klövern,CBRE,Sweden,Örebro,,,,,Various,"18,842",504,,,,,,,,,,,,1
,2018-03-10,,V8,,Riksbyggen,Catella,Sweden,Jönköping,,,,,Other,0,,,,,,,,,Development rights,,,,1
,2018-03-10,,Project Amber,,AMF Fastigheter,CBRE,Sweden,Stockholm,,,,,Office,"1,950",,,,,,,,,Leasehold,,,,1
,2018-03-20,,Malmslätt,,Riksbyggen,Catella,Sweden,Linköping,,,,,Residential,"9,159","1,046",,,,,,,,,,,,1
,2018-03-20,,Maior,,Savana Holding,JLL,Sweden,Stockholm,,,,,Other,"9,586","2,167",,,,,,,,Geriatric care with Development rights (residential),,,,1
,2018-03-22,,Projekt Science Park,,LBF Mulön,Nordier Property Advisors,Sweden,Luleå,,,,,Office,"9,670","1,041",,,,,,,,,,,,1
,2018-03-22,,Project Peace,,Stockholms Trävaruaktiebolag,PWC,Sweden,Stockholm,,,,,Other,0,602,,,,,,,,Development rights,,,,1
