,Country,Date,Buyer,Seller,Location,Property type,Property type 2 (use drop-down menu),Main use (if Mixed use),Use (if Development/Building rights),Comment (if Redevelopment),Comment (if Other),"Price, MDKK","Area, m2","Price, DKK/m2",Comments,Comments from meeting,BRE received,BRE reviewed,BRE bid,Broker,Source,,,,,,
,Denmark,,,,,,,,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denmark,2026-01-07,Urban Partners (NSF V),Skanska,Copenhagen,Residential,,Mixed use,Development,,,608,"13,100","46,412",Urban Partners acquired a large forward-purchase project in Ørestad comprising residential units and hotel apartments with completion expected in 2028. The project reflects continued investor appetite for mixed-use urban developments in transit-oriented locations.,,,,,,Urban Partners buys project for DKK 600 million from Skanska,,,,,,
,Denmark,2026-01-07,Sagax Denmark,Kruse Ejendomme,Skanderborg,Industrial,,,,,,74,"10,700","6,916","Sagax made its first active Danish acquisition with the purchase of a modern warehouse property, marking the formal start of its Danish expansion. The deal aligns with Sagax’s European strategy focused on industrial and logistics assets in established markets.",,,,,,Swedish landlord begins Danish expansion with new business,,,,,,
,Denmark,2026-01-05,Rent Estate,Elverhøj Investment Group,Copenhagen,Residential & Commercial,,Mixed use,,,,140,"13,439","10,417","Rent Estate acquired two residential properties and one commercial property in Greater Copenhagen (Valby, Vanløse, Albertslund) as part of a strategy to rebalance its portfolio toward housing. The residential assets are well-located near metro lines, while the commercial property includes significant vacancy and modernization potential.",,,,,,Family group in three-digit million dollar deal with homes and businesses near Copenhagen,,,,,,
,Denmark,2025-12-23,PensionDanmark,Skanska,Copenhagen,Mixed use,,,,,,"1,000","26,000","38,462","PensionDanmark acquired two DGNB Gold–certified properties in Ørestad comprising office space and a 186-room Ibis Styles hotel. The assets are fully developed by Skanska and leased to solid tenants, providing long-term income and strategic exposure to Copenhagen’s commercial market.",,,,,,Pensiondanmark buys two office and hotel properties for one billion,,,,,,
,Denmark,2025-12-22,Cibus Nordic Real Estate,Multiple,Various,Retail,,,,,,310,"20,000","15,500","Cibus acquired a portfolio of grocery-anchored retail properties across four countries, including Denmark, with Netto as the main tenant locally. The transaction strengthens Cibus’ Danish presence and aligns with its strategy of focusing on long-term leased food retail assets.",,,,,,Swedish retail investor continues acquisition spree,,,,,,
NEW,Denmark,2025-12-22,MJ Eriksson,Randers Municipality,Randers,Development,,,Industrial / office development,,,-,"25,000",-,"Randers Municipality sold a 25,000 sqm plot to contractor MJ Eriksson, which plans to develop a machine hall and office facilities. The acquisition enables the company to establish a permanent base in Jutland with room for future expansion.",,,,,,"Municipality sells 25,000 sq m plot of land to contractor",,,,,,
,Denmark,2025-12-18,PensionDanmark,-,Copenhagen,Office,,,,,,-,"29,354",-,"PensionDanmark acquired the former Lundbeck headquarters in Valby, consisting of two office buildings fully leased to the Municipality of Copenhagen. The property was comprehensively renovated between 2017 and 2019 and adds a long-let, public-sector tenant asset to PensionDanmark’s Copenhagen office portfolio.",,,,,,Pensiondanmark buys former Lundbeck domicile,,,,,,
