1,2,3,4,5,6,7,8,9,10,11,,,,,,,
Sources,Country,Date,Buyer,Seller,Location,Property type,"Price, MEUR","Area, m2","Price, EUR/m2",Comments,Yield,Project name,Broker,BRE received,BRE reviewed,BRE bid,
,Finland,,,,,,,,-,,,,,,,,
,,,,,,,,,-,,,,,,,,
,,,,,,,,,-,,,,,,,,
,,,,,,,,,-,,,,,,,,
,,,,,,,,,-,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Finland,2026-01-08,-,-,Helsinki,Industrial,-,"4,500",-,"A production and warehouse property in the Konala industrial area changed hands in a transaction completed at the end of December. The asset is multi-let to six tenants and sits on an owned plot of approximately 8,200 sqm.",,,,,,,
,Finland,2025-12-30,Storebrand Nordic Real Estate Fund II,Citycon & Toivo Group,Espoo,Residential,80,"16,300","4,908",Storebrand made its first direct real estate investments in Finland through the acquisition of two residential properties in Espoo via off-market transactions. The assets comprise 376 apartments and align with the fund’s core-plus strategy focusing on housing in strong Nordic locations.,,,,,,,
,Finland,2025-12-30,Balder Finland,-,Kuopio,Retail,-,-,-,"Balder Finland acquired a fully let big box retail property in Kuopio’s established retail and light industrial area. The property is leased to machinery rental company Renta, providing stable single-tenant income.",,,,,,,
,Finland,2025-12-30,Balder Finland,Huhtala Logistics,Seinäjoki,Industrial,-,"11,000",-,"Balder Finland acquired a modern logistics center in Seinäjoki leased to Huhtala Logistics, Kesko and Halpahalli. The property is energy-efficient, utilizing geothermal heating and waste heat recovery, and supports food and goods distribution.",,,,,,,
,Finland,2025-12-30,Cibus Nordic Real Estate,Hartela,Vantaa,Retail,9,"4,000","2,200","Cibus acquired a grocery-anchored retail project in Vantaa developed by Hartela, with Tokmanni as the main tenant. The property is a forward-funded project with construction starting in early 2026 and forms part of Cibus’ broader multi-country acquisition program.",,,,,,,
,Finland,2025-12-23,Cofinimmo,Toivo Group Oyj,Joensuu & Joutseno,Social infrastructure,6,-,-,"Cofinimmo acquired two care facilities under development from Toivo as part of a broader letter of intent covering multiple projects in Finland. The properties are pre-let on long-term leases to Esperi Care and are scheduled for delivery in 2026 and 2027, strengthening Cofinimmo’s Finnish healthcare portfolio.",,,,,,,
,Finland,2025-12-23,-,Citycon,Espoo,Residential,62,"13,000","4,731",Citycon sold 275 residential apartments connected to the Lippulaiva shopping center at IFRS book value to reduce leverage. The divestment supports Citycon’s strategy to focus on Nordic shopping centers and recycle capital into core assets.,,,,,,,
,Finland,2025-12-23,Kiinteistö Oy Alma,Senate Properties,Helsinki,Office,16,-,-,"Alma Property Partners and Cobbleyard acquired the historic Apollo House with plans for a major renovation while retaining office use. The project targets high-quality, flexible office space in Helsinki’s prime CBD, respecting the building’s heritage values.",,,,,,,
NEW,Finland,2025-12-23,Kinland,Toivo Group Oyj,Espoo,Social infrastructure,5,-,-,"Kinland acquired a daycare project from Toivo Group, marking the first transaction between the two parties. The property is fully developed by Toivo, pre-let on a long-term lease to Norlandia Daycare Centers, and scheduled for completion in August 2026.",,,,,,,
,Finland,2025-12-18,Mandatum & Morgan Stanley Real Estate (JV),Mandatum,"Helsinki, Espoo, Vantaa",Residential,70,-,-,"Mandatum and Morgan Stanley established a joint venture targeting residential assets in the Helsinki metropolitan area, seeded with seven properties. The platform reflects renewed international institutional interest in Finnish residential real estate.",,,,,,,
,Finland,2025-12-18,Julius Tallberg-Kiinteistöt,Ilmarinen,Tampere,Retail,-,"23,500",-,Julius Tallberg acquired a portfolio of three big-box retail properties in Tampere as part of its strategy to expand outside the Helsinki region. The assets are fully leased to strong national retail tenants in a well-established retail cluster.,,,,,,,
,Finland,2025-12-18,Public Property Invest,SBB,Various,Social infrastructure,-,-,-,"Public Property Invest completed the acquisition of SBB’s entire Finnish social infrastructure portfolio, comprising 144 properties. The transaction significantly scales PPI’s platform and positions it as Europe’s largest listed social infrastructure owner.",,around 6.6%,,,,,
,Finland,2025-12-18,Premico Asuntosalkku 4 Ky (JV),Finnish Seamen’s Pension Fund,"Helsinki, Turku, Mariehamn",Residential,-,-,-,"The Finnish Seamen’s Pension Fund divested its entire residential portfolio into a new joint venture with Premico, transitioning to an indirect investment model. The portfolio includes 463 apartments across three cities and will be actively managed to enhance long-term value.",,,,,,,
,Finland,2025-12-16,Sicore Real Assets,Pontos & Urban Partners,Vantaa,Logistics,-,"15,000",-,"Sicore Real Assets acquired DHL Express’s newly developed main logistics and sorting center in Finland. The transaction highlights continued demand for prime, ESG-compliant logistics assets despite a more challenging investment market.",,,,,,,
,Finland,2025-12-16,Kinland,Titanium Hoivakiinteistöt,Various,Social infrastructure,35,-,-,Kinland acquired a portfolio of 13 daycare properties as part of its accelerated expansion in the Finnish social infrastructure market. The deal follows two earlier acquisitions this month and further strengthens Kinland’s exposure to long-leased assets backed by strong demographic fundamentals.,,,,,,,
,Finland,2025-12-16,Stendörren Fastigheter,S-Bank Business Property,Järvenpää,Industrial,-,"5,500",-,Stendörren acquired a fully let production and warehouse property in Järvenpää under a long-term lease to a single tenant. The transaction marks Stendörren’s fourth Finnish acquisition this year and supports its strategy of building scale in the Helsinki metropolitan region.,,,,,,,
,Finland,2025-12-16,Northern Horizon,Lapti / Graniittiasunnot Oy / Oy Wedeco Ab,"Jyväskylä, Helsinki, Vantaa",Social infrastructure,-,-,-,"Northern Horizon completed three separate acquisitions of care properties across Finland, adding 132 care places to its newest fund. The transactions expand the fund’s Finnish portfolio to 47 properties and underline continued investor appetite for modern, long-leased care assets.",,,,,,,
,Finland,2025-12-16,Kesko,Iso-Valkeinen hotel owner (sale & leaseback),Kuopio,Development,-,-,-,Kesko acquired the Iso-Valkeinen property complex in a sale-and-leaseback arrangement while investigating long-term redevelopment for a future K-Rauta store. The acquisition secures a strategically located site with zoning optionality for retail development in the 2030s.,,,,,,,
NEW,Finland,2025-12-16,Osuuskauppa Hämeenmaa,City of Heinola,Heinola,Development,1,-,-,"Hämeenmaa acquired the Heinola City Hall and Council House properties with plans to develop a new S-market in the city centre. The buildings will remain in municipal use until 2027, after which redevelopment is subject to zoning changes.",,,,,,,
,Finland,2025-12-11,MVH-Kiinteistöhallinnointi Oy,VVO Hoivakiinteistöt Oy,Helsinki & Jyväskylä,Social infrastructure,-,-,-,MVH strengthens position in special needs housing (164 apartments); Rinnekodit continues as operator,,,,,,,
,Finland,2025-12-09,Kinland,eQ Community RE Fund,Various,Social infrastructure,29,-,-,WAULT ~11 yrs; portfolio of 7 energy-efficient modern assets,,,,,,,
,Finland,2025-12-09,Aktiivtilat / Suomen Hallikiinteistöt KY,Sislin Oy,Vantaa ,Industrial,5,"3,300","1,515",Sixth asset in the joint portfolio; total portfolio value >€33M,,,,,,,
,Finland,2025-12-04,ASP DC,CompassForge Ventures,Pori,Data center,-,"370,000",-,Mega-scale DC project (up to 400 MW). Construction begins 2026; includes an energy park.,,,,,,,
,Finland,2025-12-04,Urban Partners,Toivo Group,Helsinki,Social infrastructure,8,-,-,"41-bed care facility, geothermal + solar, energy class A, BREEAM, completion 2027.",,,,,,,
,Finland,2025-12-02,Kinland,OP-Palvelukiinteistöt Fund,Helsinki,Social infrastructure,24,-,-,Fully leased portfolio; energy certificates A/B; strengthens Kinland’s Finland portfolio to ~200 assets.,,,,,,,
,Finland,2025-12-02,Ethos Capital,Logicor,"Helsinki, Tampere, Riihimäki",Industrial,-,"37,000",-,Ethos’ largest deal to date; multi-city portfolio of light industrial facilities.,,,,,,,
,Finland,2025-12-02,-,UM Kiinteistöt,Tampere,Logistics,-,"6,000",-,"Fully leased, built 2024. State-of-the-art technical level.",,,,,,,
,Finland,2025-12-02,Tekova ,-,Kanta-Häme,Industrial,17,-,-,"LOI for turnkey development project. Construction starts 2026, completion 2027.",,,,,,,
,Finland,2025-12-02,Keva,SLS,Helsinki,Residential,-,-,-,Rare prime-location Helsinki rental portfolio acquisition.,,,,,,,
,Finland,2025-12-02,Oma Häme,Cities of Forssa & Hausjärvi,Forssa & Hausjärvi,Public use,7,-,-,"Includes Heikanrinne care center, Forssa fire station, Forssa main health center + Lehtimaja assisted living. Requires approval of borrowing authority.",,,,,,,
,Finland,2025-11-27,HGR Property Partners,Finnish Municipal Foundation,Helsinki,Office,-,-,-,Preliminary agreement signed. Building completed in 1982; used by The Association of Local and Regional Authorities and related bodies. HGR begins development planning immediately.,,,,,,,
