,Country,Date,Buyer,Seller,Location,Property type,Property type 2 (use drop-down menu),Main use (if Mixed use),Use (if Development/Building rights),Comment (if Redevelopment),Comment (if Other),"Price, MSEK","Area, m2","Price, SEK/m2",Comments,Comments from Friday meeting,Yield,Project name,Broker,BRE received,Received by,BRE reviewed,BRE bid,Souce,
,,,,,,,,,,,,,,-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweden,2026/01/07,Episurf Medical,Frusipe Intressenter Holding,Multiple,Mixed-use,,Retail / Office / Industrial / Residential,,,,743,"47,696","15,578",Episurf entered into a highly structured transaction to acquire a diversified mixed-use property portfolio alongside bond assets.,,,,,,,,,Episurf i trasslig fastighetsaffär för 743 mkr,
,Sweden,2026/01/02,-,Balder,Gothenburg,Residential,,,,,,-,-,-,A third penthouse apartment at the top of Karlatornet has been sold to a foreign buyer - the apartment was listed at 62.5 MSEK. The sale further confirms continued demand for ultra-prime residential units in landmark developments.,,,,,,,,,Bilder: Tredje penthouset i Karlatornet sålt,
,Sweden,2025/12/30,-,-,Stockholm,Residential,,,,,Off-market apartment sale,—,510,-,"A 510 sqm luxury apartment near Strandvägen on Östermalm was sold off market after a short process. The price is undisclosed but described by market sources as exceptionally high, underlining continued strength in Stockholm’s prime residential segment.",,,,,,,,,Record price near Strandvägen – apartment of 510 sq m,
,Sweden,2025/12/30,Svenska Handelsfastigheter,Fastena Livsmedelsfastigheter I AB,Various,Retail,,,,,Portfolio acquisition,"1,587","72,557","21,872","Svenska Handelsfastigheter acquired 16 modern retail properties across Sweden, primarily leased to grocery and discount retailers such as Coop, Willys and Rusta. The portfolio generates annual rental income of SEK 111m and significantly strengthens SHF’s national retail platform.",,,,,,,,,"Buys 70,000 sq m of retail space for SEK 1.6 billion",
,Sweden,2025/12/29,Wallin,Ersta Diakonisällskap,Stockholm,Residential,,,,,Sale of completed project,-,-,-,"The residential project Ersta/25 on Södermalm is fully sold and occupied. The project comprises 25 apartments and achieved an average sales price of 157,000 SEK per sqm, with the penthouse previously sold at 284,000 SEK per sqm.",,,,,,,,,"Projects sold for an average of 157,000 SEK/sq m in Södermalm",
